Semana,Dia,Tema Principal,Subtema,Aula,Link Aula,Link Questões
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Assistência pré-natal,Consultas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fcb14c35-bb81-4308-9876-4ffe28da2250/video/507600e6-7d8c-418f-8c68-72ef32537b30,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fcb14c35-bb81-4308-9876-4ffe28da2250/questoes/14cdc57f-6773-44fa-88cc-965048d13ace
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Assistência pré-natal,Exames complementares,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/5d8f7436-4ef2-4855-ae1d-80c941a7789e/video/85405a35-35d2-4462-8ece-6550c02e7915,
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Assistência pré-natal,Detalhes importantes,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/e9921459-4dfa-4a2a-8119-3b234aac54d2/video/01857d09-cf88-4a00-aee7-e41a95b4990f,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/e9921459-4dfa-4a2a-8119-3b234aac54d2/questoes/7e3e9559-baee-419b-8c84-cf48825175e3
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Assistência pré-natal,Vacinas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c9459557-8598-49c7-a763-b2fca69cd592/video/157e7073-8243-4bde-8160-fbed0214e545,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c9459557-8598-49c7-a763-b2fca69cd592/questoes/5d8e8232-ead3-4e04-8280-cb7a973ffb11
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Assistência pré-natal,(OPCIONAL) Defeitos do Fechamento do Tubo Neural,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/1df0e5c1-c524-44bb-a99f-efdd228693b6/video/a9c23ad9-6134-47cf-9316-65d7640c4c43,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/1df0e5c1-c524-44bb-a99f-efdd228693b6/questoes/a2a03aa9-c593-47e8-a528-11dad51dd525
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,A Pelve,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/3fcf1ab9-d6c5-4a74-bd9a-b6cdd1a8f753/video/63dbcc3f-6d75-4398-ba6b-9acdf47a92a0,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/3fcf1ab9-d6c5-4a74-bd9a-b6cdd1a8f753/questoes/8640cc95-3875-41d8-a22d-859d008cab4d
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,O Motor,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/303703d0-80e2-4a24-a3b7-a1b043fd0ec6/video/8e559444-c064-48ea-809c-b2bf0e94cd37,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/303703d0-80e2-4a24-a3b7-a1b043fd0ec6/questoes/c6a9a9f6-0d8f-4a66-b73c-78b251157dcf
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,Estática Fetal,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ddb5687d-f917-4964-b8a1-c6a1a270f5db/video/cb74f129-aacb-4099-bb5a-060a7a9e5fd1,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ddb5687d-f917-4964-b8a1-c6a1a270f5db/questoes/8d98c3f5-ebc5-401e-bf92-9a564c5df9ef
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,Mecanismo,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/50f63b6d-f3b6-45ec-bd94-209a4473000d/video/5fe003c7-8d5b-4bc4-9296-95a5095da8fb,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/50f63b6d-f3b6-45ec-bd94-209a4473000d/questoes/c3eb7a93-a011-4b5d-b796-08ef48474a9e
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,Fases Clínicas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/d5954b65-6832-4112-8754-efb4ab44b8fd/video/8db040b8-d0d6-4c90-9c88-c1c5a1e86368,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/d5954b65-6832-4112-8754-efb4ab44b8fd/questoes/6010a13e-b12c-4e94-aafa-d5249f836eb0
